gene,growth,ratio,classification,model,wt_growth
YER024W,0.08404225581835943,0.9999997834378462,neutral,CNCM_I745,0.084042
YER026C,0.0,0.0,essential,CNCM_I745,0.084042
YER037W,0.08404225581836046,0.9999997834378584,neutral,CNCM_I745,0.084042
YER042W,0.08404225581836113,0.9999997834378663,neutral,CNCM_I745,0.084042
YER043C,0.0,0.0,essential,CNCM_I745,0.084042
YER052C,5.211057027296299e-16,6.200518831909062e-15,essential,CNCM_I745,0.084042
YER053C,0.08404225581835843,0.9999997834378342,neutral,CNCM_I745,0.084042
YER055C,0.0,0.0,essential,CNCM_I745,0.084042
YER056C,0.08404225581835918,0.9999997834378432,neutral,CNCM_I745,0.084042
YER060W,0.0840422558183597,0.9999997834378493,neutral,CNCM_I745,0.084042
YER060W-A,0.0840422558183597,0.9999997834378493,neutral,CNCM_I745,0.084042
YER061C,0.0840422558183597,0.9999997834378493,neutral,CNCM_I745,0.084042
YER062C,0.0840422558183597,0.9999997834378493,neutral,CNCM_I745,0.084042
YER065C,0.0840422558183597,0.9999997834378493,neutral,CNCM_I745,0.084042
YER069W,5.446516165231929e-17,6.480686331759363e-16,essential,CNCM_I745,0.084042
YER070W,0.08404225581836021,0.9999997834378554,neutral,CNCM_I745,0.084042
YER073W,0.08404225581836035,0.9999997834378571,neutral,CNCM_I745,0.084042
YER081W,0.08404225581836035,0.9999997834378571,neutral,CNCM_I745,0.084042
YER086W,0.08404225581836035,0.9999997834378571,neutral,CNCM_I745,0.084042
YER087W,0.08404225581836035,0.9999997834378571,neutral,CNCM_I745,0.084042
YER090W,3.4666644795528143e-15,4.1249056145006266e-14,essential,CNCM_I745,0.084042
YER091C,2.650531101609591e-16,3.1538069769729407e-15,essential,CNCM_I745,0.084042
YER099C,0.08404225581836083,0.9999997834378629,neutral,CNCM_I745,0.084042
